,code,name,market,sector,date,start_price,closing_price,high_price,low_price,MA25,volume
2634,6809,ＴＯＡ,東証１,電気機器,2020年5月09日,713,737,737,706,3.88,51
2635,6810,マクセルホールディングス,東証１,電気機器,2020年5月09日,951,984,984,948,-0.65,294
2636,6814,古野電気,東証１,電気機器,2020年5月09日,800,809,809,794,-1.26,46
2637,6815,ユニデンホールディングス,東証１,電気機器,2020年5月09日,"1,886","1,882","1,893","1,843",3.97,35
2638,6817,スミダコーポレーション,東証１,電気機器,2020年5月09日,641,663,663,632,1.94,117
2640,6820,アイコム,東証１,電気機器,2020年5月09日,"2,631","2,600","2,645","2,597",1.38,265
2642,6823,リオン,東証１,電気機器,2020年5月09日,"2,320","2,330","2,337","2,253",2.22,125
2644,6826,本多通信工業,東証１,電気機器,2020年5月09日,411,431,432,410,11.48,17
2651,6839,船井電機,東証１,電気機器,2020年5月09日,421,424,430,411,-4.66,34
2653,6841,横河電機,東証１,電気機器,2020年5月09日,"1,468","1,497","1,499","1,450",9.85,1705
2654,6844,新電元工業,東証１,電気機器,2020年5月09日,"2,455","2,518","2,520","2,455",6.3,41
2655,6845,アズビル,東証１,電気機器,2020年5月09日,"2,873","2,848","2,881","2,833",2.34,704
2657,6848,東亜ディーケーケー,東証１,電気機器,2020年5月09日,870,872,872,853,-0.12,6
2658,6849,日本光電,東証１,電気機器,2020年5月09日,"3,990","3,975","4,000","3,945",3.67,1140
2659,6850,チノー,東証１,電気機器,2020年5月09日,"1,287","1,337","1,338","1,285",7.37,18
2661,6853,共和電業,東証１,電気機器,2020年5月09日,402,398,402,389,4.76,11
2662,6855,日本電子材料,東証１,電気機器,2020年5月09日,962,953,965,941,9.3,64
2663,6856,堀場製作所,東証１,電気機器,2020年5月09日,"5,720","5,790","5,790","5,700",7.66,1211
2664,6857,アドバンテスト,東証１,電気機器,2020年5月09日,"5,340","5,370","5,400","5,200",13.55,19824
2665,6858,小野測器,東証１,電気機器,2020年5月09日,486,489,489,486,0.51,1
2666,6859,エスペック,東証１,電気機器,2020年5月09日,"1,710","1,705","1,715","1,683",4.67,75
2667,6861,キーエンス,東証１,電気機器,2020年5月09日,"40,000","39,490","40,060","39,150",7.05,22940
2671,6866,ＨＩＯＫＩ,東証１,電気機器,2020年5月09日,"3,075","3,105","3,105","3,060",2.79,32
2673,6869,シスメックス,東証１,電気機器,2020年5月09日,"7,539","7,461","7,539","7,328",-1.69,2905
2675,6871,日本マイクロニクス,東証１,電気機器,2020年5月09日,886,890,894,873,11.26,148
2677,6875,メガチップス,東証１,電気機器,2020年5月09日,"1,580","1,580","1,607","1,545",2.05,297
2678,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,東証１,電気機器,2020年5月09日,"2,879","2,918","2,930","2,845",13.44,254
2679,6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,東証１,情報・通信業,2020年5月09日,365,364,370,350,4.05,17
2689,6901,澤藤電機,東証１,電気機器,2020年5月09日,"2,290","2,377","2,385","2,242",38.37,102
2690,6902,デンソー,東証１,輸送用機器,2020年5月09日,"3,630.0","3,682.0","3,709.0","3,589.0",1.42,7194
2691,6904,原田工業,東証１,電気機器,2020年5月09日,830,847,847,830,5.79,8
2692,6905,コーセル,東証１,電気機器,2020年5月09日,863,868,868,848,-5.41,77
2694,6908,イリソ電子工業,東証１,電気機器,2020年5月09日,"2,989","3,055","3,060","2,943",5.3,229
2696,6914,オプテックスグループ,東証１,電気機器,2020年5月09日,"1,220","1,252","1,252","1,213",14.78,138
2697,6915,千代田インテグレ,東証１,電気機器,2020年5月09日,"1,771","1,776","1,776","1,736",4.67,16
2698,6916,アイ・オー・データ機器,東証１,電気機器,2020年5月09日,974,964,974,948,7.43,38
2701,6920,レーザーテック,東証１,電気機器,2020年5月09日,"7,600","7,670","7,790","7,570",30.83,16235
2702,6923,スタンレー電気,東証１,電気機器,2020年5月09日,"2,361","2,399","2,406","2,349",4.89,984
2703,6924,岩崎電気,東証１,電気機器,2020年5月09日,"1,470","1,489","1,520","1,450",15.35,252
2704,6925,ウシオ電機,東証１,電気機器,2020年5月09日,"1,120","1,134","1,138","1,110",7.53,1138
2705,6926,岡谷電機産業,東証１,電気機器,2020年5月09日,321,319,321,317,-0.15,3
2706,6927,ヘリオス　テクノ　ホールディング,東証１,電気機器,2020年5月09日,324,331,331,323,-0.77,26
2707,6928,エノモト,東証１,電気機器,2020年5月09日,"1,033","1,038","1,038","1,011",14.57,30
2708,6929,日本セラミック,東証１,電気機器,2020年5月09日,"2,008","2,019","2,061","1,997",7.09,219
2710,6932,遠藤照明,東証１,電気機器,2020年5月09日,568,565,568,560,0.58,6
2711,6937,古河電池,東証１,電気機器,2020年5月09日,548,552,554,540,2,14
2712,6938,双信電機,東証１,電気機器,2020年5月09日,332,332,334,323,0.37,8
2713,6941,山一電機,東証１,電気機器,2020年5月09日,"1,503","1,497","1,516","1,477",10.13,140
2719,6947,図研,東証１,電気機器,2020年5月09日,"2,537","2,533","2,559","2,494",12.05,138
2720,6951,日本電子,東証１,電気機器,2020年5月09日,"3,315","3,355","3,355","3,290",17.74,382
2721,6952,カシオ計算機,東証１,電気機器,2020年5月09日,"1,638","1,678","1,680","1,638",2.69,2351
2722,6954,ファナック,東証１,電気機器,2020年5月09日,"17,495","17,910","17,920","17,340",17.52,24334
2725,6958,日本ＣＭＫ,東証１,電気機器,2020年5月09日,418,425,425,417,2.97,49
2727,6961,エンプラス,東証１,電気機器,2020年5月09日,"2,309","2,304","2,371","2,260",4.35,108
2728,6962,大真空,東証１,電気機器,2020年5月09日,"1,773","1,805","1,823","1,743",6.63,123
2729,6963,ローム,東証１,電気機器,2020年5月09日,"6,750","6,870","6,910","6,740",8.12,3589
2731,6965,浜松ホトニクス,東証１,電気機器,2020年5月09日,"4,755","4,665","4,770","4,635",2.04,1374
2732,6966,三井ハイテック,東証１,電気機器,2020年5月09日,"1,279","1,277","1,288","1,265",12.8,121
2733,6967,新光電気工業,東証１,電気機器,2020年5月09日,"1,355","1,364","1,368","1,334",18.87,1669
2735,6971,京セラ,東証１,電気機器,2020年5月09日,"5,769","5,803","5,825","5,689",-2.59,9803
2736,6973,協栄産業,東証１,卸売業,2020年5月09日,"1,130","1,120","1,130","1,119",3.82,2
2737,6976,太陽誘電,東証１,電気機器,2020年5月09日,"3,050","3,050","3,080","2,979",7.39,9760
2739,6981,村田製作所,東証１,電気機器,2020年5月09日,"6,059","6,054","6,096","6,010",6.78,11563
2741,6986,双葉電子工業,東証１,電気機器,2020年5月09日,"1,016","1,056","1,056","1,016",5.63,37
2742,6988,日東電工,東証１,化学,2020年5月09日,"5,420","5,410","5,430","5,310",8.79,5169
2743,6989,北陸電気工業,東証１,電気機器,2020年5月09日,925,922,925,911,3.87,7
2746,6995,東海理化電機製作所,東証１,輸送用機器,2020年5月09日,"1,328","1,380","1,386","1,316",5.5,399
2747,6996,ニチコン,東証１,電気機器,2020年5月09日,677,685,689,669,4.26,179
2748,6997,日本ケミコン,東証１,電気機器,2020年5月09日,"1,180","1,217","1,225","1,177",8.53,193
2750,6999,ＫＯＡ,東証１,電気機器,2020年5月09日,873,890,890,866,2.03,185
2751,7003,三井Ｅ＆Ｓホールディングス,東証１,輸送用機器,2020年5月09日,604,613,617,595,11.34,266
2752,7004,日立造船,東証１,機械,2020年5月09日,358,359,359,353,5.55,180
2753,7011,三菱重工業,東証１,機械,2020年5月09日,"2,645.5","2,686.0","2,686.0","2,622.0",1.76,4603
2754,7012,川崎重工業,東証１,輸送用機器,2020年5月09日,"1,558","1,599","1,603","1,540",7.38,1526
2755,7013,ＩＨＩ,東証１,機械,2020年5月09日,"1,264","1,302","1,304","1,247",5.87,3654
2756,7014,名村造船所,東証１,輸送用機器,2020年5月09日,174,177,180,174,-5.06,41
2759,7022,サノヤスホールディングス,東証１,輸送用機器,2020年5月09日,149,150,152,146,6.5,3
2760,7030,スプリックス,東証１,サービス業,2020年5月09日,912,923,931,893,20.41,84
2761,7033,マネジメントソリューションズ,東証１,サービス業,2020年5月09日,"1,154","1,097","1,158","1,091",8.27,64
2762,7034,プロレド・パートナーズ,東証１,サービス業,2020年5月09日,"4,330","4,370","4,440","4,305",18.49,400
2763,7035,ａｎｄ　ｆａｃｔｏｒｙ,東証１,サービス業,2020年5月09日,"1,040","1,017","1,064",992,-3.58,209
2782,7060,ギークス,東証１,サービス業,2020年5月09日,"1,300","1,286","1,302","1,246",9.69,58
2806,7085,カーブスホールディングス,東証１,サービス業,2020年5月09日,511,552,559,509,,542
2809,7088,フォーラムエンジニアリング,東証１,サービス業,2020年5月09日,756,728,756,726,,125
2816,7102,日本車輌製造,東証１,輸送用機器,2020年5月09日,"2,573","2,662","2,670","2,571",0.71,38
2817,7105,三菱ロジスネクスト,東証１,輸送用機器,2020年5月09日,"1,010","1,035","1,035",996,13.95,194
2818,7122,近畿車輛,東証１,輸送用機器,2020年5月09日,"1,054","1,069","1,069","1,039",0.7,2
2819,7148,ＦＰＧ,東証１,証券・商品,2020年5月09日,508,515,515,500,-0.08,598
2820,7150,島根銀行,東証１,銀行業,2020年5月09日,486,481,488,476,13.26,7
2822,7161,じもとホールディングス,東証１,銀行業,2020年5月09日,93,93,94,92,1.66,19
2824,7164,全国保証,東証１,その他金融業,2020年5月09日,"3,165","3,195","3,220","3,130",7.05,1058
2825,7167,めぶきフィナンシャルグループ,東証１,銀行業,2020年5月09日,225,231,232,225,5.48,828
2828,7173,東京きらぼしフィナンシャルグループ,東証１,銀行業,2020年5月09日,"1,020","1,048","1,048","1,006",-3.96,136
2831,7180,九州フィナンシャルグループ,東証１,銀行業,2020年5月09日,440,440,443,432,2.93,628
2832,7181,かんぽ生命保険,東証１,保険業,2020年5月09日,"1,287","1,290","1,303","1,270",-2.23,1530
2833,7182,ゆうちょ銀行,東証１,銀行業,2020年5月09日,"1,002","1,010","1,021",996,3.26,2199
2835,7184,富山第一銀行,東証１,銀行業,2020年5月09日,260,268,268,260,-1.7,8
2837,7186,コンコルディア・フィナンシャルグループ,東証１,銀行業,2020年5月09日,319,324,326,316,4.34,975
2838,7187,ジェイリース,東証１,その他金融業,2020年5月09日,208,216,218,206,-0.35,17
